"","CBlat","CBlon","MBlat","MBlon"
"1",38.0024871826172,-124.134155273438,35.7512321472168,-122.744064331055
"2",38.0483169555664,-124.103546142578,35.7975425720215,-122.715438842773
"3",38.0941314697266,-124.072906494141,35.8438529968262,-122.686782836914
"4",38.1399345397949,-124.042221069336,35.8901443481445,-122.658096313477
"5",38.1857261657715,-124.011505126953,35.9364318847656,-122.629364013672
"6",38.2315101623535,-123.980743408203,35.9827079772949,-122.6005859375
"7",38.277286529541,-123.949920654297,36.0289764404297,-122.571792602539
"8",38.3230476379395,-123.919052124023,36.0752334594727,-122.542938232422
"9",38.3688011169434,-123.888153076172,36.1214790344238,-122.514068603516
"10",38.4145393371582,-123.857192993164,36.1677207946777,-122.485137939453
"11",38.4602661132812,-123.826202392578,36.2139472961426,-122.456176757812
"12",38.5059852600098,-123.795181274414,36.2601661682129,-122.427169799805
"13",38.5516929626465,-123.764099121094,36.3063774108887,-122.398132324219
"14",38.5973892211914,-123.732971191406,36.3525772094727,-122.369049072266
"15",38.6430702209473,-123.701812744141,36.3987693786621,-122.339935302734
"16",38.6887474060059,-123.670593261719,36.4449462890625,-122.310775756836
"17",38.7344131469727,-123.63932800293,36.4911193847656,-122.281585693359
"18",38.7800636291504,-123.608032226562,36.537281036377,-122.252334594727
